sample_id,reqId,model,mode,testId,n_test_occurrences,element_type,element_text,evidence_window,full_evidence,window_is_fallback,anchor_terms_in_window,gherkin_test,matcher_verdict,human_verdict,notes
26,R69,claude-haiku-4-5-20251001,vector,R69_1,18,cross_module,Price calculation logic,"ype=SrcChunk hops=0 score=0.6751 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""times",False,False,3,"Feature: Monetary Representation Consistency
  Scenario: Calculated monetary value matches stored value
    Given a monetary calculation is performed with amount 100.50 in currency USD
    When the result is stored in the financial record
    Then the stored value must equal 100.50
    And the stored currency must be USD",present_in_evidence,PRESENT_USABLE,
27,R38,claude-haiku-4-5-20251001,vector,R38_1,10,cross_module,Item database schema (Serial ID),"on prevents overlapping rent periods.
## 4.1.4 The system shall update availability in real time when rent records are created, modified, cancelled, or completed.

## 4.2 Availability Query
## 4.2.1 The system shall allow users to query item availability for a specified date range.
## 4.2.2 The system shall return availability status indicating whether the item is available or unavailable for the requested period.
## 4.2.3 The system shall ensure availability queries reflect the latest rent and item status information.

## 4.3 Availability Restrictions
## 4.3.1 The system shall allow authorized users to define availability restrictions for items.
## 4.3.2 The system shall prevent rent creation during restricted periods.
## 4.3.3 The system shall ensure that avail

[2] source=2cc02dcda359772d type=SrcChunk hops=0 score=0.6668 chunk=2cc02dcda359772d doc=JIRA-Item.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-ITEM-301"",
    ""summary"": ""Database schema for Item Identification and T",False,False,3,"Feature: Identifier Alias Consistency
  Scenario: Formal identifier maps to warehouse-facing identifier
    Given a product with formal specification identifier ""SPEC-2024-001""
    When warehouse staff queries the product using warehouse-facing identifier ""WH-2024-001""
    Then the system returns the same product record
    And the mapping between ""SPEC-2024-001"" and ""WH-2024-001"" is recorded in the identifier resolution table",present_in_evidence,PRESENT_USABLE,
28,R71,claude-haiku-4-5-20251001,hybrid,R71_1,26,refine,Calculation accuracy rule,"=R71 type=Requirement/SrcChunk hops=0 chunk=cc00a9173697dc7d doc=JIRA-Payment.md rel=TARGET
[
  {
    ""ticket_id"": ""JIRA-PAY-601"",
    ""summary"": ""Pricing Configuration Service"",
    ""description"": ""Implement the pricing configuration layer so authorized users can define rental pricing structures and apply them consistently to rentable items without retroactively changing already established rental records."",
    ""status"": ""Closed""
  },
  {
    ""ticket_id"": ""JIRA-PAY-602"",
    ""summary"": ""Price Calculation and Precision"",
    ""description"": ""Implement rental cost calculation based on duration and pricing rules, and make sure the resulting amount is derived consistently across calculation, storage, and user-facing display. International billing and currency presentation should be treated as a related operational concern, but must not silently override the core pricing logic."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"":",False,False,2,"Feature: Multi-currency conversion integrity
  Scenario: Customer-visible total aligns with persisted billing amount
    Given a transaction in currency USD with amount 100.00
    And the transaction is converted to currency EUR at rate 0.92
    When the transaction is persisted to the billing database
    And the customer views the transaction in their preferred currency EUR
    Then the displayed total in EUR must equal the persisted billing amount in EUR
    And no rounding discrepancy exists between displayed and stored values",present_in_evidence,PRESENT_USABLE,
29,R1,gpt-4o-mini,vector,R1_1,14,local,Registration mandatory fields,"valid and has not expired.
## 1.3.11. The system shall invalidate the reset link after successful password reset.
## 1.3.12. The system shall invalidate all active sessions after a successful password change or reset.

## 1.4. Account Status Management
## 1.4.1 The system shall assign a status to each user account.
## 1.4.2 The system shall support the following account statuses: Pending, Active, Suspended, and Deleted.
## 1.4.3 The system shall set the account status to Pending upon successful registration and before email verification.
## 1.4.4 The system shall set the account status to Active after successful email verification

[17] source=ce4209d8f88ab7e7 type=SrcChunk hops=0 score=0.7774 chunk=ce4209d8f88ab7e7 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-Auth-101"",
    ""summary"": ""Registration - Create account with mandatory fields"",
    ""description"": ""Implement user registration functionality. The system shall require first name, last name, phone number, ",False,False,3,"Feature: User Registration
  Scenario: User attempts to register without providing first name
    Given the user is on the registration page
    When the user submits the registration form without a first name
    Then the system should display an error message indicating that first name is required",present_in_evidence,PRESENT_USABLE,
30,R26,gpt-4o-mini,hybrid,R26_1,30,cross_module,Lifecycle event notification coverage,""",
        ""timestamp"": ""2026-02-21T10:15:00Z"",
        ""text"": ""Clarification needed: If an operator completes a rent early, does the 'Maintenance' (v1.2) period start immediately, or only at the original end date?""
      }
    ]
  },
  {
  ""ticket_id"": ""JIRA-LIFE-205"",
  ""summary"": ""Bug: Penalty applied during early operator cancellation"",
  ""description"": ""An operator reported that a rent was stopped shortly after it became active, but the system still applied a penalty fee. Based on earlier lifecycle guidance, there may have been a short tolerance window in which this kind of early cancellation should not have triggered the charge."",
  ""s

[6] source=R52c type=Requirement/SrcChunk hops=1 chunk=bfd9d8de995ec51f doc=TOOLCHAIN-CONF-NOTIFICATION-01.md rel=AFFECTS
# Documentum ID: TOOLCHAIN-CONF-NOTIFICATION-01
# Description: Notifications
# Status: Effective

## 5. Notifications
## 5.1 Notification Events

## 5.1.1 The system shall generate notifications for rent lifecycle events.
## 5",False,False,3,"Given an authorized user
And a rent record with status Approved
When the user cancels the rent record
Then the rent record status should be updated to Cancelled",present_in_evidence,PRESENT_SCATTERED,
31,R5,gpt-4o-mini,hybrid,R5_1,14,refine,Activation token hashing and expiry," and underscores. The domain must contain at least one dot and valid domain name characters. Example of valid format: user.name@example.com""
    }
  ]
},
  {
    ""ticket_id"": ""JIRA-Auth-104"",
    ""summary"": ""Registration - Create Pending account after successful submission"",
    ""description"": ""Upon successful submission of the registration form, the system shall create a new user account with status set to Pending."",
    ""comments"": []
  },
  {
    ""ticket_id"": ""JIRA-Auth-105"",
    ""summary"": ""Activation - Send confirmation email with activation link"",
    ""description"": ""After successful registration, the system shall send an account activation email to the provided email address. The email shall c

[9] source=G1 type=Gap hops=1 rel=AFFECTS
Activation expiry / pending cleanup gap

[10] source=I10 type=Implementation hops=1 rel=REFINES
Activation token hashing and expiry

[11] source=A3 type=Actor/SrcChunk hops=2 chunk=4c32feaa92e54f29 doc=CONF-AUTH-01.md rel=IN_DOC > IN_DOC
 stored s",False,False,4,"Feature: Activation Link Security
  Scenario: Send activation email after registration
    Given a user has successfully registered
    When the system sends an activation email
    Then the email should contain a unique activation link
    And the activation link should be cryptographically secure",present_in_evidence,PRESENT_USABLE,
32,R37,claude-haiku-4-5-20251001,hybrid,R37_1,9,cross_module,Deletion status mismatch,"is an enhancement beyond the initial SRS but aligns with GDPR data minimization.""
    },
    {
      ""author"": ""QA Engineer Marta"",
      ""timestamp"": ""2026-02-16T13:45:00Z"",
      ""text"": ""Logic Gap: If we delete the account after 30 days, what happens to the activation link sent in CONF-AUTH-01 1.5? The link has no expiry in the docs. We need to ensure the link doesn't trigger a 500 error on a non-existent account.""
    },
    {
      ""author"": ""Sec

[5] source=G33 type=Gap hops=1 rel=AFFECTS
Deletion status mismatch

[6] source=I35 type=Implementation hops=1 rel=IMPLEMENTS
Item deletion logic

[7] source=G1 type=Gap/SrcChunk hops=2 chunk=2fb79f7446b24909 doc=JIRA-Auth.md rel=IN_DOC > IN_DOC
o the activation link sent in CONF-AUTH-01 1.5? The link has no expiry in the docs. We need to ensure the link doesn't trigger a 500 error on a non-existent account.""
    },
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-17T10:10:00Z"",
      ""text"": ""Clarification N",False,False,3,"Feature: Soft Deletion Rule - Active Rental Prevention
  Scenario: Deletion is blocked for item with active rental
    Given an item exists in the system
    And the item is currently referenced by an active rental record
    When a deletion request is submitted for the item
    Then the deletion shall be prevented
    And an error message indicating active rental reference is returned
    And the item remains in its current state",present_in_evidence,PRESENT_USABLE,
33,R79b,gpt-4o-mini,hybrid,R79b_10,23,refine,Rent report generation rule,"mp"": ""2026-02-23T09:00:00Z"",
        ""text"": ""Completed the overlap checks and lifecycle-triggered refresh flow. One implementation note: an earlier discussion suggested using a single fallback delay after certain rental events, so I initially followed that interpretation before rechecking the current availability rules.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-402"",
    ""summary"": ""Availability Query API"",
    ""description"": ""Develop the endpoint for checking whether an item can be rented within a requested period, ensuring the response reflects the latest rental and item-state information at query time."",
    ""status"": ""In Pro

[37] source=90c335507fa9d909 type=SrcChunk hops=0 score=0.7453 chunk=90c335507fa9d909 doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=VECTOR_SIMILARITY
tion about which data representation should be treated as authoritative for audit purposes.

Please review and confirm the intended source-of-truth model for report generation, export, and audit v",False,False,4,"Feature: Identifier consistency in reporting
  Scenario: Identifier integrity in data migrations
    Given a data migration is taking place
    When I verify the identifiers post-migration
    Then they should remain consistent with the original identifiers",present_in_evidence,PRESENT_USABLE,
34,R84b,claude-haiku-4-5-20251001,graph,R84b_1,7,local,Delivery lifecycle management rule,"en delivery is selected.
## 8.1.3 The system shall validate the delivery address before confirming the rent.

## 8.2 Delivery Scheduling
## 8.2.1 The system shall allow users to select a delivery time window.
## 8.2.2 The system shall validate that the selected delivery time window is available.
## 8.2.3 The system shall prevent scheduling delivery outside supported delivery hours.

## 8.3 Delivery Lifecycle
## 8.3.1 The system shall create a delivery record associated with the rent record when delivery is selected.
## 8.3.2 The system shall support delivery status values including Scheduled, In Transit, Delivered, and Failed.
## 8.3.3 The system shall allow authorized users to update delivery status.
## 8.3.4 The system shall notify the user when delivery status changes.

## 8.4 Delivery Fees
## 8.4.1 The system shall calculate delivery fees based on c

[3] source=R84b type=Requirement hops=0 rel=TARGET
Delivery lifecycle management rule

[4] source=I83 type=Implementation/SrcChunk ho",False,False,4,"Feature: Delivery Method Selection
  Scenario: User chooses delivery option for a rent
    Given a user is creating a new rent
    When the user selects ""delivery"" as the delivery method
    Then a delivery record shall be created and associated with the rent record
    And the system shall require the user to provide a delivery address",present_in_evidence,PRESENT_USABLE,
35,R50,claude-haiku-4-5-20251001,graph,R50_1,16,conflict,Maintenance period management,"ound an ambiguity in query results after the recent item-management changes. Records that are no longer operationally valid are being surfaced through the same availability wording used for temporarily blocked items, which may mislead users about whether the item is recoverable or simply not rentable at the moment.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-403"",
    ""summary"": ""Manual Availability Restrictions"",
    ""description"": ""Allow authorized users to define manual non-rentable periods and ensure those restrictions take precedence over otherwise rentable time windows."",
    ""status"": ""To Do""
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-404"",
    ""summary"": ""Maintenance Period Management"",
    ""description"": ""Implement maintenance windows for items, ensure those periods block rental activity, and make the item appear non-rentable while the maintenance 

[7] source=I44 type=Implementation/SrcChunk hops=1 chunk=e6716dab172b3183 doc=JIRA-Availability.md rel=CONFLICTS_WITH
: ""Main",False,False,3,"Feature: Availability State Semantics Separation
  Scenario: Deleted items are semantically distinct from temporarily unavailable items
    Given an item that has been deleted from the system
    When the availability query is executed
    Then the response must indicate the item is permanently non-operational
    And the response must NOT use the same wording as temporarily blocked items
    And the response must clearly indicate the item is not recoverable",present_in_evidence,PRESENT_USABLE,
36,R103d,gpt-4o-mini,graph,R103d_1,16,local,Loyalty currency consistency,"[1] source=R103d type=Requirement hops=0 rel=TARGET
Loyalty currency consistency

[2] source=R103d type=Requirement/SrcChunk hops=0 chunk=fdb6d8e7e523c75b doc=TOOLCHAIN-CONF-REWARDS&PANELTIES-01.md rel=TARGET
# Documentum ID: TOOLCHAIN-CONF-REWARDS&PANELTIES-01
# Description: Rewards and Penalties Management
# Status: Effective

## 9. Rewards and Penalties Management

## 9.1 Loyalty Points Accrual
## 9.1.1 The system shall allow users to earn loyalty points based on completed rents.
## 9.1.2 The system shall calculate loyalty points according to ",False,False,3,"Feature: Loyalty Points Assignment
  Scenario: Assign loyalty points when rent status is completed and payment status is paid
    Given the rent status is ""Completed""
    And the payment status is ""Paid""
    When the system processes the loyalty points
    Then the user should receive loyalty points according to the configured business rules",present_in_evidence,ABSENT,
37,R37,claude-haiku-4-5-20251001,graph,R37_1,4,cross_module,Deletion status mismatch,"is an enhancement beyond the initial SRS but aligns with GDPR data minimization.""
    },
    {
      ""author"": ""QA Engineer Marta"",
      ""timestamp"": ""2026-02-16T13:45:00Z"",
      ""text"": ""Logic Gap: If we delete the account after 30 days, what happens to the activation link sent in CONF-AUTH-01 1.5? The link has no expiry in the docs. We need to ensure the link doesn't trigger a 500 error on a non-existent account.""
    },
    {
      ""author"": ""Sec

[5] source=G33 type=Gap hops=1 rel=AFFECTS
Deletion status mismatch

[6] source=I35 type=Implementation hops=1 rel=IMPLEMENTS
Item deletion logic

[7] source=G1 type=Gap/SrcChunk hops=2 chunk=2fb79f7446b24909 doc=JIRA-Auth.md rel=IN_DOC > IN_DOC
o the activation link sent in CONF-AUTH-01 1.5? The link has no expiry in the docs. We need to ensure the link doesn't trigger a 500 error on a non-existent account.""
    },
    {
      ""author"": ""Security Engineer Viktor"",
      ""timestamp"": ""2026-02-17T10:10:00Z"",
      ""text"": ""Clarification N",False,False,3,"Given an item exists in the system
When the item is soft-deleted
Then the item record remains in the database
And the item's status is marked as deleted in the technical status model",present_in_evidence,PRESENT_USABLE,
38,R24,gpt-4o-mini,vector,R24_1,10,cross_module,Rent creation flow,"event unauthorized modification of penalty records.

## 9.6 Dispute Management
## 9.6.1 The system shall allow users to submit disputes for penalties.
## 9.6.2 The system shall store dispute status including Open, Under Review, Approved, and Rejected.
## 9.6.3 The system shall allow authorized users t

[33] source=128cf22dddc1b4d2 type=SrcChunk hops=0 score=0.7188 chunk=128cf22dddc1b4d2 doc=JIRA-Lifecycle.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-LIFE-201"",
    ""summary"": ""Implement Rent Creation Flow"",
    ""description"": ""Develop the initial rent request screen based on TOOLCHAIN-CONF-RENT-01 Section 2.1. The system must capture item selection, start date, and end date. Ensure a unique Rent ID is generated for every record."",
    ""status"": ""Closed"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-02-10T08:00:00Z"",
        ""text"": ""Base flow implemented. Status is set to 'Requested' by default as per 2.1.6.""
      }
    ]
  },
  {
  ",False,False,3,"Given the rental start date is today
When the system checks the rent status
Then the rent status should be updated to Active",present_in_evidence,PRESENT_USABLE,
39,R51,gpt-4o-mini,hybrid,R51_1,8,local,Category-specific post-rent buffer,"[1] source=R51 type=Requirement hops=0 rel=TARGET
Category-specific post-rent buffer

[2] source=R51 type=Requirement/SrcChunk hops=0 chunk=4ccbb686e5ec37c3 doc=TOOLCHAIN-CONF-RENT-01-v1.2.md rel=TARGET
lapping rent records for the same rentable item.
## 2.2.4 The system shall validate that the rental start date is earlier than the rental end date.
## 2.2.5 The system shall prevent creation of rent records with rental periods in the past, unless explicitly permitted.

## 2.3 Rent Approval
## 2.3.1 The system shall allow authorized users to appr",False,False,3,"Feature: Rent Status Update
  Scenario: Update rent status to Active
    Given the rental start date is reached
    When the system checks the rent status
    Then the rent status should be updated to Active",present_in_evidence,PRESENT_USABLE,
40,R79b,claude-haiku-4-5-20251001,vector,R79b_4,6,refine,Rent report generation rule,"mp"": ""2026-02-23T09:00:00Z"",
        ""text"": ""Completed the overlap checks and lifecycle-triggered refresh flow. One implementation note: an earlier discussion suggested using a single fallback delay after certain rental events, so I initially followed that interpretation before rechecking the current availability rules.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-402"",
    ""summary"": ""Availability Query API"",
    ""description"": ""Develop the endpoint for checking whether an item can be rented within a requested period, ensuring the response reflects the latest rental and item-state information at query time."",
    ""status"": ""In Pro

[20] source=90c335507fa9d909 type=SrcChunk hops=0 score=0.7453 chunk=90c335507fa9d909 doc=EMAIL_DATA_Internal_Audit_Discrepancy.txt rel=VECTOR_SIMILARITY
tion about which data representation should be treated as authoritative for audit purposes.

Please review and confirm the intended source-of-truth model for report generation, export, and audit v",False,False,4,"Feature: Identifier consistency in reporting
  Scenario: Activity and audit views use clearly distinguishable identifier styles
    Given a rental activity is recorded in the system
    When the activity is viewed in standard activity view
    And the same activity is viewed in audit view
    Then the identifier style in activity view shall be privacy-preserving
    And the identifier style in audit view shall be audit-transparent
    And both views shall reference the same underlying rental event",present_in_evidence,PRESENT_SCATTERED,
41,R3,claude-haiku-4-5-20251001,vector,R3_1,10,refine,EMAIL_CTO_Security_Update.txt,"system shall allow modification or removal of maintenance periods by authorized users.

## 4.5 Availability Status Updates
## 4.5.1 The system shall automatically update availability status when rent lifecycle events occur.
## 4.5.2 The system shall ensure availability status reflects the current lifecycle state of rent records.
## 4.5.3 The system shall ensure availability changes are applied immediately.

[3] source=af22485c3c34f13c type=SrcChunk hops=0 score=0.6416 chunk=af22485c3c34f13c doc=EMAIL_LEGAL_GDPR_Compliance.txt rel=VECTOR_SIMILARITY
From: it_lead@toolchain.com
To: pm_team@toolchain.com, dev_leads@toolchain.com
Date: 2026-02-18 14:45
Subject: Registration consent flow must be revised before launch

Hi All,

During the latest compliance review, Legal raised a blocking concern regarding how consent is collected in the registration journey.

At the moment, the current approach appears to bundle multiple legal acknowledgements too closely. For launch readiness, users need to ",False,False,2,"Feature: Password Policy Enforcement
  Scenario: User attempts to create password below minimum length
    Given a user is registering for an account
    When the user enters a password with fewer than the minimum required characters
    Then the system shall reject the password
    And display an error message indicating minimum length requirement",present_in_evidence,ABSENT,
42,R80,claude-haiku-4-5-20251001,hybrid,R80_1,29,conflict,Financial report accuracy,".md rel=VECTOR_SIMILARITY
# Documentum ID: TOOLCHAIN-CONF-REPORTING-01
# Description: Reporting and Audit
# Status: Effective

## 7. Reporting and Audit

## 7.1 Rent Reports
## 7.1.1 The system shall allow authorized users to generate reports of rent records.
## 7.1.2 The system shall allow reports to include rent status, item identifier, user identifier, and rental period.
## 7.1.3 The system shall allow filtering of rent reports by date range.
## 7.1.4 The system shall allow filtering of rent reports by rent status.
## 7.1.5 The system shall allow filtering of rent reports by rentable item.

## 7.2 Financial Reports
## 7.2.1 The system shall allow authorized users to generate financial reports.
## 7.2.2 The system shall include payment amounts, payment status, and invoice information in financial reports.
## 7.2.3 The system shall allow filtering financial reports by date range.
## 7.2.4 The system shall ensure financial report accuracy.

## 7.3 User Activity Reports
## 7.3.1 The sys",False,False,3,"Feature: Authoritative monetary source consistency
  Scenario: Billing report totals match persisted amounts
    Given a billing record with a persisted total of 1500.00 USD
    When the billing report is generated
    Then the report displays a total of 1500.00 USD
    And the displayed total matches the persisted amount exactly",present_in_evidence,PRESENT_USABLE,
43,R64,claude-haiku-4-5-20251001,hybrid,R64_1,20,cross_module,End-of-rent lifecycle transition,"=beb42617cfc95144 type=SrcChunk hops=0 score=0.6600 chunk=beb42617cfc95144 doc=JIRA-Delivery-Control.md rel=VECTOR_SIMILARITY
arta"",
        ""timestamp"": ""2026-03-10T11:30:00Z"",
        ""text"": ""Please confirm how unsupported edge windows should appear in the user flow. There is a difference between a slot that is structurally outside delivery hours and one that is technically valid but already unavailable.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-DEL-803"",
    ""summary"": ""Delivery Status Lifecycle"",
    ""description"": ""Implement the delivery lifecycle flow and ensure the system can track operational delivery progress while keeping users informed when delivery state changes occur."",
    ""status"": ""Closed"",
    ""comments"": [
      {
        ""author"": ""Backend Engineer Tomas"",
        ""timestamp"": ""2026-03-11T09:20:00Z"",
        ""text"": ""The operational status progression is implemented, but we should confirm whether all internal delivery transitions are meant to be exposed directl",False,False,2,"Feature: Invoice Generation for Approved Rent State
  Scenario: System generates invoice when rent record is in Approved state
    Given a rent record exists in Approved state
    When the invoice generation process is triggered
    Then an invoice shall be created for that rent record
    And the invoice shall contain rent details
    And the invoice shall contain pricing information
    And the invoice shall contain the total amount",present_in_evidence,ABSENT,
44,R103d,gpt-4o-mini,graph,R103d_1,20,cross_module,Currency consistency gap,"l allow authorized users t

[5] source=G93c type=Gap/SrcChunk hops=1 chunk=ebea956274025791 doc=JIRA-Payment.md rel=AFFECTS
ctations for the total, but it does not fully spell out how edge-case fractions should be handled at each calculation stage. I started with a simplified approach for partial-unit handling, but this needs confirmation before we freeze the behavior.""
      },
      {
        ""author"": ""QA Marta"",
        ""timestamp"": ""2026-03-01T14:00:00Z"",
        ""text"": ""Please verify the consistency of subtotal, tax, and final amount handling. A display-friendly simplification in one layer can still produce visible mismatches later if the stored and presented totals are derived differently.""
      },
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-03-04T15:00:00Z"",
        ""text"": ""UI note: finance asked for cleaner presentation in one of the pilot currency scenarios, so I explored a more compact display format there while keeping more precise values in th",False,False,3,"Feature: Loyalty Points Assignment
  Scenario: Assign loyalty points when rent status is completed and payment status is paid
    Given the rent status is ""Completed""
    And the payment status is ""Paid""
    When the system processes the loyalty points
    Then the user should receive loyalty points according to the configured business rules",present_in_evidence,PRESENT_USABLE,
45,R25,claude-haiku-4-5-20251001,vector,R25_1,20,cross_module,Loyalty eligibility condition rule," otherwise rentable time windows."",
    ""status"": ""To Do""
  },
  {
    ""ticket_id"": ""JIRA-AVAIL-404"",
    ""summary"": ""Maintenance Period Management"",
    ""description"": ""Implement maintenance windows for items, ensure those periods block rental activity, and make the item appear non-rentable while the maintenance 

[18] source=cb19aeaad55d5a74 type=SrcChunk hops=0 score=0.6896 chunk=cb19aeaad55d5a74 doc=JIRA-Rewards.md rel=VECTOR_SIMILARITY
[
  {
    ""ticket_id"": ""JIRA-REW-901"",
    ""summary"": ""Loyalty Points Accrual Logic"",
    ""description"": ""Implement loyalty point accrual for completed and successfully settled rental activity, and ensure awarded points are applied to the user account according to the configurable reward policy."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""author"": ""Developer Dave"",
        ""timestamp"": ""2026-03-15T10:00:00Z"",
        ""text"": ""Implementation note: the specification refers to configurable business rules for point awards, but the ",False,False,2,"Feature: End-of-rent lifecycle transition
  Scenario: Rent status updates to Maintenance upon reaching end date
    Given an active rent record with end date set to today
    When the system processes the end-of-rent lifecycle transition
    Then the rent status shall be updated to 'Maintenance'
    And the rent record shall remain in the system",present_in_evidence,PRESENT_USABLE,
46,R2,gpt-4o-mini,vector,R2_1,8,cross_module,Generic duplicate-email error,"er) is unique. This would require adjusting the registration validation logic."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-16T10:41:00Z"",
        ""text"": ""This contradicts the SRS requirement that email must be unique. Please confirm expected behavior

[6] source=1d3d27d1a24b72f0 type=SrcChunk hops=0 score=0.6632 chunk=1d3d27d1a24b72f0 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
that use invalid or expired activation tokens and show an appropriate error state."",
    ""comments"": []
  },
  {
  ""ticket_id"": ""JIRA-Auth-108"",
  ""summary"": ""Registration - Security hardening: Prevent email enumeration"",
  ""description"": ""To prevent attackers from discovering registered users, the registration flow must use generic responses. \n\nRequirement:\nIf a user tries to register with an email address that is already in use, the system MUST NOT display an error message stating 'Email already exists'. \nInstead, it should display a generic message: 'If thi",False,False,2,"Given a user attempts to register with the email address ""user@example.com"" 
When the system checks for existing accounts 
Then the registration should be successful if ""user@example.com"" is not associated with any existing account",present_in_evidence,PRESENT_USABLE,
47,R33,gpt-4o-mini,graph,R33_1,18,local,Identifier format rule,"[1] source=R33 type=Requirement hops=0 rel=TARGET
Identifier format rule

[2] source=R33 type=Requirement/SrcChunk hops=0 chunk=b046296a3e9c6aab doc=JIRA-Auth.md rel=TARGET
""description"": ""Validate that the email address provided during registration is unique and not already associated with an existing account. Uniqueness validation shall be case-insensitive."",
    ""comments"": [
      {
        ""author"": ""QA Engineer Marta"",
        ""timestamp"": ""2026-02-15T08:22:00Z"",
        ""text"": ""Should email addresses be case-sensitive when checking for ",False,False,3,"Feature: Identifier uniqueness validation
  Scenario: Identifiers differing only by case should be considered the same
    Given an identifier ""ABC123""
    And an identifier ""abc123""
    When I validate the identifiers
    Then the validation should fail for duplicate identifiers",present_in_evidence,ABSENT,
48,R4,claude-haiku-4-5-20251001,vector,R4_1,7,supersede,Basic login without MFA,"c=CONF-AUTH-01.md rel=VECTOR_SIMILARITY
is invalid or expired.
## 1.9.7 The system shall allow users to complete authentication only after successful verification of both primary and secondary authentication factors.
## 1.9.8 The system shall allow users to disable MFA only after successful authentication.
## 1.9.9 The system shall ensure that MFA configuration changes require user authentication.
## 1.9.10 The system shall securely store MFA-related data.
## 1.9.11 The system shall ensure that MFA verification codes are time-limited and can be used only once.
## 1.9.12 The system shall log MFA-related events, including MFA enablement, disablement, and verification attempts.

[24] source=a063be533a62ecb9 type=SrcChunk hops=0 score=0.7126 chunk=a063be533a62ecb9 doc=JIRA-Auth.md rel=VECTOR_SIMILARITY
 a second factor when enabled."",
  ""comments"": [
    {
      ""author"": ""Developer Dave"",
      ""timestamp"": ""2026-02-18T10:00:00Z"",
      ""text"": ""Login logic is ready. MFA is not part of th",False,False,2,"Feature: MFA Capability
  Scenario: System provides MFA capability
    Given the system is operational
    When a user accesses the authentication interface
    Then MFA capability should be available",present_in_evidence,PRESENT_CONTRADICTED,
49,R38,gpt-4o-mini,hybrid,R38_1,19,refine,Item creation UI (Barcode label),"r Marta"",
        ""timestamp"": ""2026-02-22T08:15:00Z"",
        ""text"": ""Do modifications include the operational identifier as well, or only the business-facing item details? If warehouse scanning depends on a stable machine-readable identifier, we may need to restrict edits after creation.""
      }
    ]
  },
  {
    ""ticket_id"": ""JIRA-ITEM-304"",
    ""summary"": ""Item Availability Status Toggle"",
    ""description"": ""Implement the immediate status change for items (Available/Unavailable). Ensure items marked Unavailable cannot be rented."",
    ""status"": ""In Progress"",
    ""comments"": [
      {
        ""aut

[2] source=R38 type=Requirement/SrcChunk hops=0 chunk=07278371d2a99b01 doc=EMAIL_LOGISTICS_Barcode_Requirement.txt rel=TARGET
From: logistics_manager@toolchain.com
Date: 2026-02-22 11:00
Subject: Warehouse handling concern for item identifiers

Hi All,

During the warehouse pilot, the team raised a usability concern around how item identifiers are handled on labels and during scannin",False,False,3,"Feature: Identifier alias consistency
  Scenario: Validate required fields
    Given the user has filled in all required fields
    When the user attempts to save changes
    Then the system should validate all required fields
    And the changes should be saved successfully",present_in_evidence,PRESENT_USABLE,
